Shares,Me gusta,MeEncanta,MeDivierte,Me asombra,Me entristece,Me enoja,PRI,PAN,MORENA,INDEPENDIENTE,POSITIVO,NEGATIVO,NEUTRAL
7764,155,62,1110,0,0,0,1,0,1,1,1,0,0
12388,2600,146,4900,18,8,1,1,0,0,0,0,1,0
93,25,2,87,0,0,0,0,1,1,0,0,1,0
53,43,1,67,0,0,1,1,1,1,0,0,1,0
110,31,5,72,0,0,0,1,0,1,0,0,1,0
91,37,16,156,3,1,0,0,0,1,0,1,0,0
34,24,0,41,1,0,0,0,0,1,0,1,0,0
82,27,0,47,0,1,4,1,0,0,0,0,1,0
74,40,25,100,0,0,0,0,0,1,0,1,0,0
10,17,1,16,0,0,1,1,0,0,0,0,0,1
8722,157,55,491,0,0,2,1,0,0,0,0,1,0
24,35,2,77,0,0,0,0,0,0,1,0,0,1
7,4,1,3,0,0,0,0,0,0,1,0,0,1
104,0,0,16,2,1,0,0,0,1,0,0,1,0
2237,1000,51,1003,6,4,5,0,0,1,0,0,1,0
501,356,12,591,2,1,2,1,0,1,0,0,0,1
18053,567,281,3000,3,1,3,0,0,0,1,0,0,1
91,119,7,331,1,0,1,1,0,0,1,0,0,1
10000,1008,161,8005,16,39,0,1,0,1,0,0,0,1
3,2,0,20,0,0,0,0,0,0,1,0,1,0
7,4,1,16,0,0,0,0,1,1,1,0,0,1
7,2,0,3,0,0,0,1,0,0,0,0,0,1
17,41,10,5,10,0,0,0,0,1,0,0,0,1
76,36,3,67,0,0,1,0,0,0,1,0,0,1
36,62,1,5,0,0,0,1,1,1,0,1,0,0
1355,91,11,49,0,0,0,1,1,1,0,0,0,1
151,96,10,342,1,0,0,1,0,1,0,0,0,1
344,229,1,0,6,161,0,1,1,0,0,0,0,1
74,40,25,100,0,0,0,0,0,1,0,0,0,1
2498,1000,10,738,8,0,54,1,1,0,0,0,0,1
52,15,0,34,1,2,0,0,0,1,0,0,1,0
9,10,0,12,0,0,0,1,0,1,0,0,0,1
30,16,2,40,0,0,1,1,0,0,0,0,1,0
43,15,2,22,0,0,0,1,1,0,0,0,1,0
10,15,0,10,0,0,0,1,0,0,0,0,1,0
6,8,0,2,1,0,0,0,1,0,0,0,1,0
11,11,10,0,0,1,0,0,1,0,0,0,0,1
98,75,5,129,0,0,0,0,1,0,0,0,0,1
240,34,0,21,0,0,0,1,1,0,0,0,1,0
10,4,2,3,0,0,0,0,1,1,0,0,0,1
21,25,5,22,0,0,0,0,1,0,0,0,0,1
1527,81,57,292,1,0,0,1,1,1,0,0,0,1
