Shares,Me gusta,MeEncanta,MeDivierte,Me asombra,Me entristece,Me enoja,PRI,PAN,MORENA,INDEPENDIENTE,POSITIVO,NEGATIVO,NEUTRAL
70,23,6,14,0,2,0,0,0,1,0,0,1,0
19,10,0,6,0,0,0,0,0,1,0,0,1,0
5558,425,41,999,6,4,6,0,0,1,0,0,1,0
315,125,1,37,1,1,18,0,0,1,0,0,1,0
5826,1500,385,9500,57,33,73,0,0,1,0,0,1,0
939,814,138,709,7,0,5,0,0,1,0,0,1,0
104,36,0,16,2,1,0,0,0,1,0,0,1,0
345,173,31,336,0,2,1,0,0,1,0,0,1,0
66,59,3,42,2,2,3,0,0,1,0,0,1,0
633,238,6,316,1,15,3,0,0,1,0,0,1,0
73,52,2,29,2,2,2,0,0,1,0,0,1,0
36,17,4,29,0,0,1,0,0,1,0,0,1,0
20,15,0,37,0,0,0,0,0,1,0,0,1,0
241,222,39,8,1,0,0,0,0,1,0,0,1,0
94,51,1,8,15,5,29,0,0,1,0,0,1,0
340,127,6,4,2,0,1,0,0,1,0,1,0,0
54,13,5,2,0,0,0,0,0,1,0,1,0,0
546,297,20,161,1,0,3,1,0,1,0,1,0,0
178,162,7,92,1,0,0,1,0,1,0,1,0,0
135,271,44,0,1,30,0,0,0,1,0,1,0,0
147,37,5,14,0,1,0,0,0,1,0,1,0,0
1312,74,23,2,4,0,0,0,0,1,0,1,0,0
36,48,6,8,2,0,1,0,0,1,0,1,0,0
21270,6200,969,46000,52,30,9,1,0,1,0,0,0,1
18,5400,1,35000,59,55,8,1,0,1,0,0,0,1
7783,4300,772,20000,16,7,0,1,0,1,0,0,0,1
4942,4000,321,15000,20,3,3,1,0,1,0,0,0,1
6295,3500,535,20000,32,2,0,1,0,1,0,0,0,1
5580,4000,598,20000,24,6,4,1,0,1,0,0,0,1
5703,2400,565,15000,22,4,8,1,0,1,0,0,0,1
